Institution_Name,SC_Ranking,SC Score,Curriculum,Public Engagement,Air & Climate,Campus Engagement,Research,Waste,Food & Dining,Water,Transportation,Buildings,Divestment Score,Diversity and Affordability,Energy,Wellbeing & Work,Grounds,Coordination and Planning,Investment & Finance,Purchasing,Innovation Score
Creighton University,248,40.2,7.09,6.07,3.72,5.34,1.56,1.58,0.83,0.92,2.18,0.62,0,2.46,3.58,1.02,0.57,1.15,0.07,0.44,1
State University of New York at Fredonia,249,39.61,6.33,5.17,5.4,4.57,2.6,1.29,1.08,0.35,1.12,0.65,0,2.79,2.36,1.66,0,1.1,0.22,0.45,2.5
East Carolina University,250,39.29,8.48,3.74,2.49,3.2,4.45,2.03,0.57,0.63,2.88,0.86,1,3.12,1.99,1.12,0,1.34,0,0.87,0.5
Florida Institute of Technology,251,38.18,11.1,4.51,0,3.92,4.93,1.87,0,1.29,2.11,0.1,0,1.34,4.75,0.57,0.32,1.01,0,0.34,0
West Chester University of Pennsylvania,252,37.34,8.06,4.96,4.3,2.17,1.52,1.52,1.65,0.68,1.73,1.06,0,2.63,3.11,1.24,1.14,1.2,0,0.38,0
Tennessee Technological University,253,36.68,6.76,6.12,4.05,3.54,3.21,0.76,0.87,3.01,0.48,1.16,1,2.05,2.21,0.37,0,0.58,0,0.03,0.5
Texas Tech University,254,36.47,9.03,3.05,0.41,5.18,2.98,1.8,0.56,1.12,1.2,0.55,0,2.08,2.27,0.36,1.57,0.63,0,0.2,3.5
Western State Colorado University,255,35.41,8.94,4.05,5.77,4.78,2.98,1.68,0.75,0,1.08,1.26,0,1.32,0.32,0.6,0,1.45,0,0.43,0
"University of North Carolina, Pembroke",256,35.3,10.36,2.72,4.2,5.31,1.35,1.95,0.64,0.16,2.23,0.05,0,1.85,1.65,0.81,0,1.97,0,0.06,0
Saint Louis University,257,35.06,4.78,4.47,2.6,6.23,2.16,1.49,1.18,2.22,2.36,0,0,3.3,2.38,0.75,0.12,0.65,0,0.37,0
Austin College,258,34.4,8.49,1.97,6.52,2.45,2.24,0,0.58,0.58,2.44,1.16,0,0.65,4.77,0.12,1.74,0.71,0,0,0
Northern Michigan University,259,34.11,4.74,4.99,0.42,4.85,4.71,0.69,0.79,1.6,1.42,0.69,0,2.28,2.95,0.54,0.53,0.51,0,0.4,2
Susquehanna University,260,34.08,6.31,4.82,4.11,3.59,2.88,1.23,0.82,0.03,0.82,0.44,0,3.14,3.27,0.81,0.59,1.05,0,0.18,0
Messiah College,261,31.62,6.95,4.68,4.64,2.42,0.76,1.07,0.86,1.01,0.99,0,0,1.47,3.78,0.73,0.02,0.89,0.07,0.26,1
Whatcom Community College,262,31.47,13,1.57,5.12,1.97,0,2.45,0.47,0.38,2,1.2,0,0.6,0,1.11,0.63,0.28,0,0.18,0.5
Ringling College of Art and Design,263,31.24,9.67,4.76,0,7.53,0,0.53,1,1.47,1.94,0,0,1.38,0,0.39,1.84,0.48,0,0.25,0
Sonoma State University,264,31.22,9.39,3.34,0,7.05,3.82,0,0.34,0,0.63,0.3,0,3.04,0,0.67,1.76,0.89,0,0,0
Georgia College & State University,265,30.03,6,2.1,3.87,6.14,3.1,1.5,0.96,0,2.75,0.94,0,0.82,0,0.12,0.79,0.94,0,0,0
The University of Texas at Dallas,266,29.09,3.78,1.88,0.42,5.32,3.07,2.44,0.93,2.1,1.86,0.59,0,2.14,1.23,0.95,0.59,1.36,0,0.43,0
Metropolitan Community College,267,28.95,4.23,5.84,2.75,3.01,0,2.11,0.4,2.96,1.13,0.9,0,1.72,1.95,0.72,0.02,1.05,0,0.13,0
Juniata College,268,23.54,6.91,1.51,0,3.15,3.22,0,0.57,1.37,0.81,0.05,0,1.63,2.31,1.1,0,0.89,0,0,0
